V(out)	power output	
1.433252e-009	1.42116698e-8	
1.500799e-009	1.48814503e-8	
1.571530e-009	1.55827924e-8	
1.645594e-009	1.63171785e-8	
1.723148e-009	1.70861824e-8	
1.804357e-009	1.7891423e-8	
1.889394e-009	1.87346251e-8	
1.978439e-009	1.96175742e-8	
2.071679e-009	2.05421158e-8	
2.169315e-009	2.15102322e-8	
2.271551e-009	2.25239812e-8	
2.378606e-009	2.35854959e-8	
2.490707e-009	2.4697061e-8	
2.608090e-009	2.58609917e-8	
2.731005e-009	2.7079769e-8	
2.859714e-009	2.83560104e-8	
2.994488e-009	2.96923943e-8	
3.135614e-009	3.10917497e-8	
3.283391e-009	3.25570573e-8	
3.438132e-009	3.40914188e-8	
3.600166e-009	3.56981024e-8	
3.769837e-009	3.73804971e-8	
3.947504e-009	3.91421887e-8	
4.133544e-009	4.09868996e-8	
4.328352e-009	4.29185631e-8	
4.532341e-009	4.49412495e-8	
4.745944e-009	4.7059271e-8	
4.969613e-009	4.92771059e-8	
5.203824e-009	5.15994595e-8	
5.449072e-009	5.40312648e-8	
5.705879e-009	5.65776807e-8	
5.974789e-009	5.92441087e-8	
6.256372e-009	6.20361925e-8	
6.551226e-009	6.4959863e-8	
6.859976e-009	6.80213387e-8	
7.183276e-009	7.12270802e-8	
7.521813e-009	7.4583896e-8	
7.876306e-009	7.80989427e-8	
8.247505e-009	8.17796342e-8	
8.636198e-009	8.56337926e-8	
9.043209e-009	8.96695729e-8	
9.469402e-009	9.38955693e-8	
9.915682e-009	9.83207387e-8	
1.038299e-008	1.02954477e-7	
1.087233e-008	1.07806557e-7	
1.138473e-008	1.12887405e-7	
1.192127e-008	1.18207462e-7	
1.248310e-008	1.23778375e-7	
1.307141e-008	1.29611948e-7	
1.368745e-008	1.35720435e-7	
1.433252e-008	1.42116698e-7	
1.500799e-008	1.48814503e-7	
1.571530e-008	1.55827924e-7	
1.645594e-008	1.63171785e-7	
1.723148e-008	1.70861824e-7	
1.804357e-008	1.7891423e-7	
1.889394e-008	1.87346251e-7	
1.978439e-008	1.96175742e-7	
2.071680e-008	2.05421158e-7	
2.169315e-008	2.15102322e-7	
2.271551e-008	2.25239812e-7	
2.378606e-008	2.35854959e-7	
2.490707e-008	2.4697061e-7	
2.608090e-008	2.58609917e-7	
2.731005e-008	2.7079769e-7	
2.859714e-008	2.83560104e-7	
2.994488e-008	2.96923943e-7	
3.135614e-008	3.10917497e-7	
3.283391e-008	3.25570573e-7	
3.438132e-008	3.40914188e-7	
3.600166e-008	3.56981024e-7	
3.769837e-008	3.73804971e-7	
3.947504e-008	3.91421887e-7	
4.133544e-008	4.09868996e-7	
4.328352e-008	4.29185631e-7	
4.532341e-008	4.49412495e-7	
4.745944e-008	4.7059271e-7	
4.969613e-008	4.92771059e-7	
5.203824e-008	5.15994595e-7	
5.449072e-008	5.40312648e-7	
5.705879e-008	5.65776807e-7	
5.974789e-008	5.92441087e-7	
6.256372e-008	6.20361925e-7	
6.551226e-008	6.4959863e-7	
6.859975e-008	6.80213235e-7	
7.183277e-008	7.12270802e-7	
7.521814e-008	7.45839111e-7	
7.876306e-008	7.80989427e-7	
8.247505e-008	8.17796342e-7	
8.636198e-008	8.56337926e-7	
9.043209e-008	8.96695729e-7	
9.469402e-008	9.38955693e-7	
9.915681e-008	9.83207387e-7	
1.038299e-007	1.02954477e-6	
1.087233e-007	1.07806557e-6	
1.138473e-007	1.12887405e-6	
1.192127e-007	1.18207462e-6	
1.248310e-007	1.23778375e-6	
1.307141e-007	1.29611948e-6	
1.368745e-007	1.35720435e-6	
1.433252e-007	1.42116698e-6	
1.500799e-007	1.48814503e-6	
1.571530e-007	1.55827924e-6	
1.645594e-007	1.63171785e-6	
1.723148e-007	1.70861824e-6	
1.804357e-007	1.7891423e-6	
1.889394e-007	1.87346251e-6	
1.978439e-007	1.96175742e-6	
2.071680e-007	2.05421158e-6	
2.169315e-007	2.15102322e-6	
2.271551e-007	2.25239812e-6	
2.378606e-007	2.35854959e-6	
2.490707e-007	2.4697061e-6	
2.608090e-007	2.58609917e-6	
2.731005e-007	2.7079769e-6	
2.859714e-007	2.83560104e-6	
2.994488e-007	2.96923943e-6	
3.135614e-007	3.10917497e-6	
3.283391e-007	3.25570573e-6	
3.438132e-007	3.40914188e-6	
3.600166e-007	3.56981024e-6	
3.769837e-007	3.73804971e-6	
3.947504e-007	3.91421887e-6	
4.133544e-007	4.09868996e-6	
4.328352e-007	4.29185631e-6	
4.532341e-007	4.49412495e-6	
4.745944e-007	4.7059271e-6	
4.969613e-007	4.92771059e-6	
5.203823e-007	5.15994444e-6	
5.449072e-007	5.40312648e-6	
5.705879e-007	5.65776807e-6	
5.974789e-007	5.92441087e-6	
6.256372e-007	6.20361925e-6	
6.551226e-007	6.4959863e-6	
6.859976e-007	6.80213387e-6	
7.183276e-007	7.12270802e-6	
7.521814e-007	7.45839111e-6	
7.876306e-007	7.80989427e-6	
8.247505e-007	8.17796342e-6	
8.636198e-007	8.56337926e-6	
9.043209e-007	8.96695729e-6	
9.469402e-007	9.38955693e-6	
9.915682e-007	9.83207387e-6	
1.038299e-006	1.02954477e-5	
1.087233e-006	1.07806557e-5	
1.138473e-006	1.12887405e-5	
1.192127e-006	1.18207462e-5	
1.248310e-006	1.23778375e-5	
1.307141e-006	1.29611948e-5	
1.368745e-006	1.35720435e-5	
1.433252e-006	1.42116698e-5	
1.500799e-006	1.48814503e-5	
1.571530e-006	1.55827924e-5	
1.645594e-006	1.63171785e-5	
1.723148e-006	1.70861824e-5	
1.804357e-006	1.7891423e-5	
1.889394e-006	1.87346251e-5	
1.978439e-006	1.96175742e-5	
2.071680e-006	2.05421158e-5	
2.169315e-006	2.15102322e-5	
2.271551e-006	2.25239812e-5	
2.378606e-006	2.35854959e-5	
2.490706e-006	2.46970459e-5	
2.608090e-006	2.58609917e-5	
2.731005e-006	2.7079769e-5	
2.859714e-006	2.83560104e-5	
2.994488e-006	2.96923943e-5	
3.135614e-006	3.10917497e-5	
3.283391e-006	3.25570573e-5	
3.438132e-006	3.40914188e-5	
3.600166e-006	3.56981024e-5	
3.769837e-006	3.73804971e-5	
3.947504e-006	3.91421887e-5	
4.133544e-006	4.09868996e-5	
4.328352e-006	4.29185631e-5	
4.532341e-006	4.49412495e-5	
4.745943e-006	4.70592558e-5	
4.969613e-006	4.92771059e-5	
5.203824e-006	5.15994595e-5	
5.449072e-006	5.40312648e-5	
5.705879e-006	5.65776807e-5	
5.974789e-006	5.92441087e-5	
6.256372e-006	6.20361925e-5	
6.551226e-006	6.4959863e-5	
6.859976e-006	6.80213387e-5	
7.183276e-006	7.12270802e-5	
7.521814e-006	7.45839111e-5	
7.876306e-006	7.80989427e-5	
8.247504e-006	8.1779619e-5	
8.636198e-006	8.56337926e-5	
9.043209e-006	8.96695729e-5	
9.469402e-006	9.38955693e-5	
9.915681e-006	9.83207387e-5	
1.038299e-005	1.02954477e-4	
1.087233e-005	1.07806557e-4	
1.138473e-005	1.12887405e-4	
1.192127e-005	1.18207462e-4	
1.248310e-005	1.23778375e-4	
1.307141e-005	1.29611948e-4	
1.368745e-005	1.35720435e-4	
1.433252e-005	1.42116698e-4	
1.500799e-005	1.48814503e-4	
1.571530e-005	1.55827924e-4	
1.645594e-005	1.63171785e-4	
1.723148e-005	1.70861824e-4	
1.804357e-005	1.7891423e-4	
1.889394e-005	1.87346251e-4	
1.978439e-005	1.96175742e-4	
2.071679e-005	2.05421158e-4	
2.169315e-005	2.15102322e-4	
2.271551e-005	2.25239812e-4	
2.378606e-005	2.35854959e-4	
2.490707e-005	2.4697061e-4	
2.608090e-005	2.58609917e-4	
2.731005e-005	2.7079769e-4	
2.859714e-005	2.83560104e-4	
2.994488e-005	2.96923943e-4	
3.135614e-005	3.10917497e-4	
3.283391e-005	3.25570573e-4	
3.438132e-005	3.40914188e-4	
3.600166e-005	3.56981024e-4	
3.769837e-005	3.73804971e-4	
3.947504e-005	3.91421887e-4	
4.133544e-005	4.09868996e-4	
4.328352e-005	4.29185631e-4	
4.532341e-005	4.49412495e-4	
4.745943e-005	4.70592558e-4	
4.969613e-005	4.92771059e-4	
5.203823e-005	5.15994444e-4	
5.449072e-005	5.40312648e-4	
5.705879e-005	5.65776807e-4	
5.974789e-005	5.92441087e-4	
6.256372e-005	6.20361925e-4	
6.551226e-005	6.4959863e-4	
6.859975e-005	6.80213235e-4	
7.183276e-005	7.12270802e-4	
7.521813e-005	7.4583896e-4	
7.876306e-005	7.80989427e-4	
8.247504e-005	8.1779619e-4	
8.636197e-005	8.56337773e-4	
9.043208e-005	8.96695729e-4	
9.469402e-005	9.38955693e-4	
9.915681e-005	9.83207387e-4	
1.038299e-004	1.02954477e-3	
1.087233e-004	1.07806557e-3	
1.138473e-004	1.12887405e-3	
1.192127e-004	1.18207462e-3	
1.248310e-004	1.23778375e-3	
1.307141e-004	1.29611948e-3	
1.368745e-004	1.35720435e-3	
1.433252e-004	1.42116698e-3	
1.500799e-004	1.48814503e-3	
1.571529e-004	1.55827771e-3	
1.645593e-004	1.6317176e-3	
1.723148e-004	1.70861798e-3	
1.804357e-004	1.78914203e-3	
1.889394e-004	1.87346223e-3	
1.978438e-004	1.9617556e-3	
2.071679e-004	2.05421126e-3	
2.169314e-004	2.15102289e-3	
2.271551e-004	2.25239777e-3	
2.378606e-004	2.35854922e-3	
2.490706e-004	2.46970421e-3	
2.608089e-004	2.58609726e-3	
2.731005e-004	2.70797649e-3	
2.859713e-004	2.83560062e-3	
