V(out)	I(R3)	power
2.483299e-031	5.888829e+000	1.462372e-030	
2.630443e-031	5.888829e+000	1.549023e-030	
2.786307e-031	5.888829e+000	1.640808e-030	
2.951406e-031	5.888829e+000	1.738032e-030	
3.126288e-031	5.888829e+000	1.841017e-030	
3.311532e-031	5.888829e+000	1.950104e-030	
3.507752e-031	5.888829e+000	2.065655e-030	
3.715600e-031	5.888829e+000	2.188053e-030	
3.935763e-031	5.888829e+000	2.317703e-030	
4.168972e-031	5.888829e+000	2.455036e-030	
4.415999e-031	5.888829e+000	2.600506e-030	
4.677663e-031	5.888829e+000	2.754596e-030	
4.954832e-031	5.888829e+000	2.917816e-030	
5.248424e-031	5.888829e+000	3.090707e-030	
5.559413e-031	5.888829e+000	3.273843e-030	
5.888829e-031	5.888829e+000	3.467831e-030	
6.237764e-031	5.888829e+000	3.673312e-030	
6.607375e-031	5.888829e+000	3.890970e-030	
6.998886e-031	5.888829e+000	4.121524e-030	
7.413596e-031	5.888829e+000	4.365740e-030	
7.852880e-031	5.888829e+000	4.624426e-030	
8.318192e-031	5.888829e+000	4.898441e-030	
8.811076e-031	5.888829e+000	5.188692e-030	
9.333165e-031	5.888829e+000	5.496141e-030	
9.886190e-031	5.888829e+000	5.821808e-030	
1.047198e-030	5.888829e+000	6.166772e-030	
1.109249e-030	5.888829e+000	6.532176e-030	
1.174976e-030	5.888829e+000	6.919231e-030	
1.244598e-030	5.888829e+000	7.329222e-030	
1.318345e-030	5.888829e+000	7.763505e-030	
1.396461e-030	5.888829e+000	8.223522e-030	
1.479207e-030	5.888829e+000	8.710796e-030	
1.566855e-030	5.888829e+000	9.226943e-030	
1.659697e-030	5.888829e+000	9.773674e-030	
1.758041e-030	5.888829e+000	1.035280e-029	
1.862211e-030	5.888829e+000	1.096624e-029	
1.972554e-030	5.888829e+000	1.161603e-029	
2.089435e-030	5.888829e+000	1.230433e-029	
2.213242e-030	5.888829e+000	1.303340e-029	
2.344385e-030	5.888829e+000	1.380568e-029	
2.483299e-030	5.888829e+000	1.462372e-029	
