time	V(out)
7.602354810738868e-004	4.617193e+001
7.602567637368853e-004	4.617193e+001
7.602831234099376e-004	4.617193e+001
7.603215732376510e-004	4.617193e+001
7.603750308828095e-004	4.617193e+001
7.604685471329225e-004	4.617193e+001
7.606268435094753e-004	4.617193e+001
7.609434362625810e-004	4.617193e+001
7.990234375000000e-004	4.617193e+001
7.993966379248300e-004	4.617193e+001
7.997139224510203e-004	4.617193e+001
8.000000000000000e-004	4.617193e+001
8.000006293716823e-004	4.617194e+001
8.000018881150467e-004	4.617194e+001
8.000030506279970e-004	4.617194e+001
8.000041482298751e-004	4.617195e+001
8.000063222244782e-004	4.617196e+001
8.000086977814394e-004	4.617197e+001
8.000124034707732e-004	4.617197e+001
8.000166880097884e-004	4.617199e+001
8.000231796621478e-004	4.617200e+001
8.000315542280635e-004	4.617202e+001
8.000451325561243e-004	4.617203e+001
8.000664466584668e-004	4.617204e+001
8.001090748631519e-004	4.617205e+001
8.001943312725223e-004	4.617206e+001
8.003648440912628e-004	4.617207e+001
8.007058697287441e-004	4.617207e+001
8.013879210037065e-004	4.617207e+001
8.023644835037066e-004	4.577239e+001
8.030236309759225e-004	4.374686e+001
8.033483003383909e-004	3.969760e+001
8.035560893854896e-004	3.324773e+001
8.037265960935189e-004	2.411740e+001
8.038464404607834e-004	1.530762e+001
8.039284632934739e-004	8.242661e+000
8.039739978314339e-004	4.344955e+000
8.040018325747254e-004	2.395991e+000
8.040304852712622e-004	9.089268e-001
8.040427086605543e-004	4.625606e-001
8.040484396954464e-004	3.471918e-001
8.040543671193496e-004	2.884698e-001
8.040611218203788e-004	2.471511e-001
8.040679352167738e-004	2.217276e-001
8.040776516498160e-004	2.004028e-001
8.040868006009526e-004	1.890233e-001
8.040996599748726e-004	1.807743e-001
8.041133203110645e-004	1.763366e-001
8.041345229994732e-004	1.730115e-001
8.041569776644984e-004	1.709820e-001
8.042018869945488e-004	1.680555e-001
8.042487468617284e-004	1.653542e-001
8.043424665960876e-004	1.606054e-001
8.045299060648060e-004	1.523010e-001
8.046251210625632e-004	1.487147e-001
8.048155510580776e-004	1.427277e-001
8.050000000000001e-004	1.375238e-001
8.050184448941922e-004	1.373810e-001
8.050553346825767e-004	1.372249e-001
8.051291142593457e-004	1.371632e-001
8.052766734128837e-004	1.371664e-001
8.054958916000137e-004	1.371657e-001
8.059343279742737e-004	1.371660e-001
